post_id,platform,post_type,post_date,post_topic,impressions,reach,likes,comments,shares,saves,clicks,follower_count
post_001,Instagram,Image,2025-08-01,Product Showcase,15000,12500,850,55,20,105,35,50000
post_002,Facebook,Video,2025-08-02,Behind the Scenes,22000,18000,1200,90,45,NULL,10,50120
post_003,Instagram,Reel,2025-08-03,Giveaway,45000,41000,3500,750,500,120,55,50300
post_004,TikTok,Video,2025-08-04,DIY Tutorial,80000,75000,6800,1200,950,NULL,20,25000
post_005,Instagram,Carousel,2025-08-05,Educational,18000,16500,920,85,30,250,70,50500
post_006,Facebook,Image,2025-08-06,User Generated Content,25000,21000,1500,110,60,NULL,40,50700
post_007,Instagram,Reel,2025-08-07,DIY Tutorial,75000,68000,5500,800,480,310,95,51000
post_008,Twitter,Text Post,2025-08-08,Company News,10000,9500,250,45,80,NULL,15,15000
post_009,Instagram,Image,2025-08-09,Quote,12000,10500,700,40,15,65,10,51250
post_010,Facebook,Video,2025-08-10,Giveaway,38000,34000,2800,650,400,NULL,30,51400
post_011,Instagram,Reel,2025-08-11,Behind the Scenes,31000,28500,1800,150,90,120,45,51600
post_012,TikTok,Video,2025-08-12,DIY Tutorial,120000,110000,10500,2100,1800,NULL,80,26000
post_013,Instagram,Image,2025-08-13,Educational,20000,18000,1100,100,40,300,85,51800
post_014,Facebook,Image,2025-08-14,Product Showcase,19000,16000,1000,70,25,NULL,50,52000
post_015,Instagram,Reel,2025-08-15,Giveaway,55000,50000,4500,950,700,210,110,52200
